Unnamed: 0,counts_S93,counts_S94,counts_S107,counts_S108
ENSG00000142619.4,5,2,1,1
ENSG00000266634.1,0,0,0,0
ENSG00000159339.13,0,0,0,0
ENSG00000276747.1,0,0,0,0
ENSG00000227751.1,3,0,0,0
ENSG00000179051.13,1684,1635,2117,2738
ENSG00000074964.16,1754,1774,2172,2916
ENSG00000236648.1,1,0,0,0
ENSG00000117148.7,1,0,0,0
ENSG00000284653.1,0,0,0,0
ENSG00000261781.1,0,0,0,0
ENSG00000117154.11,0,0,0,1
ENSG00000280222.1,0,0,0,0
ENSG00000230035.2,0,0,0,0
ENSG00000225387.1,0,0,0,0
ENSG00000179023.8,74,77,88,82
ENSG00000235282.3,0,0,0,0
ENSG00000225478.2,0,0,0,0
ENSG00000009709.11,0,0,0,0
ENSG00000179002.5,0,0,0,0
ENSG00000255275.3,2,0,0,1
ENSG00000159423.16,70,73,55,88
ENSG00000265606.1,0,0,0,0
ENSG00000221662.1,0,0,0,1
ENSG00000169991.10,385,416,363,443
ENSG00000272084.1,27,31,21,25
ENSG00000127481.14,11069,11787,11330,14008
ENSG00000230424.1,4,4,6,6
ENSG00000127463.14,1243,1218,1573,1781
ENSG00000053372.4,272,240,363,476
ENSG00000211454.13,65,82,71,97
ENSG00000162482.4,284,298,283,386
ENSG00000270728.1,4,6,2,11
ENSG00000053371.12,886,877,988,1144
ENSG00000200403.1,8,7,6,10
ENSG00000040487.12,239,261,247,322
ENSG00000077549.17,3470,3374,3045,3471
ENSG00000240490.3,0,0,0,0
ENSG00000173436.14,98,122,154,167
ENSG00000201609.1,0,0,0,0
ENSG00000235185.1,0,0,0,1
ENSG00000158747.14,2123,2681,1834,2541
ENSG00000270136.6,1,2,0,0
ENSG00000226396.1,21,19,26,28
ENSG00000158748.3,0,2,0,0
ENSG00000162542.13,359,386,393,465
ENSG00000178828.6,1059,1253,696,561
ENSG00000235434.1,4,1,0,1
ENSG00000169914.5,532,512,472,580
ENSG00000188784.4,0,0,0,0
ENSG00000242688.3,0,0,0,0
ENSG00000188257.11,25,31,28,30
ENSG00000127472.10,0,0,0,0
ENSG00000117215.14,0,0,0,0
ENSG00000158786.4,0,0,0,2
ENSG00000227066.1,0,0,0,0
ENSG00000187980.6,0,1,1,2
ENSG00000225986.1,3,3,2,3
ENSG00000162543.5,455,424,688,935
ENSG00000228105.1,0,0,0,0
ENSG00000284710.1,0,0,0,0
ENSG00000158816.15,0,0,2,0
ENSG00000226664.1,0,0,0,0
ENSG00000236963.6,0,2,0,0
ENSG00000226487.1,0,0,0,0
ENSG00000284641.1,0,0,1,0
ENSG00000284743.1,3,4,0,0
ENSG00000162545.5,2140,2594,1550,1982
ENSG00000090432.6,593,652,614,793
ENSG00000215520.3,0,0,0,0
ENSG00000183114.7,0,0,1,1
ENSG00000158825.5,2009,2360,1286,1369
ENSG00000158828.7,2202,2509,1772,2094
ENSG00000284005.1,0,0,0,0
ENSG00000117242.7,263,286,271,354
ENSG00000244038.9,2696,2685,3159,4010
ENSG00000117245.12,7,8,5,10
ENSG00000235432.1,0,0,3,0
ENSG00000189410.11,5,1,5,4
ENSG00000233069.1,0,0,0,0
ENSG00000127483.17,2042,2054,2175,2568
ENSG00000075151.20,3090,3046,3406,3569
ENSG00000251914.1,0,0,0,0
ENSG00000221808.1,3,1,2,0
ENSG00000233072.1,6,12,21,9
ENSG00000236073.2,8,3,17,11
ENSG00000235112.1,1,0,0,0
ENSG00000117298.15,4967,5728,4128,4498
ENSG00000236936.1,0,0,0,0
ENSG00000231105.1,0,0,3,1
ENSG00000236216.5,0,0,0,0
ENSG00000228823.1,0,0,0,0
ENSG00000236009.1,0,0,0,0
ENSG00000227001.3,11,9,6,11
ENSG00000187952.9,4,0,3,12
ENSG00000186543.7,0,2,0,0
ENSG00000142794.18,151,160,191,254
ENSG00000176378.8,0,0,0,0
ENSG00000162551.13,0,0,0,1
ENSG00000233431.1,0,0,0,0
ENSG00000076864.19,79,53,89,150
ENSG00000090686.15,830,781,1025,1269
ENSG00000231978.2,0,0,0,0
ENSG00000187942.11,49,72,76,67
ENSG00000142798.19,34541,32678,35524,39065
ENSG00000232037.3,0,0,0,0
ENSG00000283234.1,6,2,3,5
ENSG00000219073.7,2,2,3,0
ENSG00000285959.1,0,0,0,0
ENSG00000273610.1,0,0,0,0
ENSG00000201919.1,0,0,0,0
ENSG00000142789.19,0,3,0,0
ENSG00000278124.1,0,0,0,0
ENSG00000201273.1,0,0,0,0
ENSG00000228397.2,1,2,3,3
ENSG00000218510.8,26,16,27,37
ENSG00000285721.1,270,272,336,353
ENSG00000285752.1,1,0,1,3
ENSG00000285794.1,0,0,0,0
ENSG00000070831.15,70,62,78,75
ENSG00000230068.2,41,29,50,56
ENSG00000271428.1,0,0,0,0
ENSG00000162552.14,32,37,36,72
ENSG00000285873.1,2,4,0,4
ENSG00000266564.1,0,0,0,0
ENSG00000234397.3,0,0,0,0
