"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SNAP91_22650",18.2542711903714,-8.1189048984333,1.90447972688442,-4.26305661531782,2.01649401187698e-05,0.00020132634529949
"STOX1_22652",2.07691380497373,-4.98386479254053,3.3622803271038,-1.48228711103144,0.138263916337356,NA
"CSRNP1_22653",85.8732668997542,0.0854306112745403,0.713306234476209,0.119767089008094,0.90466765340556,0.950375456135909
"PCLO_22654",42.8100338358034,-9.34853991270843,1.77779083149357,-5.25851508912016,1.45223271472954e-07,4.4532831453746e-06
"NKX2-8_22655",1.8861501445244,-4.85165819345658,4.31323420807432,-1.1248306860718,0.260660788441241,NA
"TRIML2_22656",2.4548600492109,-5.2237735123663,3.17415365829955,-1.64572168669515,0.0998210719972761,0.216922754771134
"PYGO2_22657",55.4776792174419,-0.422194755514204,0.800359617700574,-0.527506318631075,0.597842029714819,0.759388755221183
"LMBRD2_22660",61.1825666279525,-1.34755493698064,0.907953341512703,-1.48416760572249,0.13776446144891,0.274378518632113
"EIF4E1B_22661",1.96549878416542,-0.839315649055857,3.58323999762602,-0.234233724118932,0.814803535086399,NA
"CASP4_22663",319.13540025909,0.448217088704056,0.643506919539371,0.696522562686497,0.48610163233245,0.669160427179037
"CAMK2B_22665",1.00666295907864,-3.94240477853434,4.45344011866892,-0.885249306936382,0.376022184285372,NA
"CAMK2D_22666",8.43684442452366,-3.09054577617513,1.82630191668803,-1.69224253007399,0.0905997404698074,0.201252890207682
"BRSK1_22667",0.692304601657909,-3.39863497882985,4.89227080808864,-0.694694777159661,0.487246601838232,NA
"SNX16_22669",21.6140056178263,0.69016286690431,1.08170448155556,0.638032733221011,0.523452372427509,0.701045156528738
"MCCC2_22670",50.1549164754195,0.354851409736985,0.84054017798928,0.42217066956377,0.672900448428553,0.813624361515677
"PPHLN1_22671",19.7738689244009,1.71133328264792,1.17129525073543,1.46106054948436,0.143998825449741,0.283957674282634
"GOLPH3_22672",68.9871706391064,0.396545516923723,0.756927858729058,0.523888125335424,0.600356354467947,0.761128911238385
"SMOC1_22673",0.314358357420734,-2.35592350228236,4.9908029976496,-0.4720529949573,0.636888962430235,NA
"SMOC2_22675",0,NA,NA,NA,NA,NA
"ZNF300_22676",172.424313846674,-4.20294061526013,0.93950765156582,-4.47355655726203,7.692919809241e-06,9.23102594998304e-05
"ADCY1_22677",4.40101700389027,-6.07285531069363,3.32557765129707,-1.8261054010647,0.0678343868166073,0.16289527891983
"CRY2_22678",63.6896100148594,0.280198598926208,0.754493633028457,0.371373046319186,0.710359698348176,0.83801356603936
"RECK_22679",21.8608707403814,-1.15997462942475,1.048769540754,-1.1060338657345,0.268711861530087,0.447714053721409
"CYLC1_22680",39.726457071751,-9.24052675836736,1.79639926309171,-5.14391591458564,2.69070002598638e-07,6.85773533008324e-06
"CARM1_22681",199.994259330219,0.0289693154050383,0.653249190653733,0.0443465002628591,0.964628206260612,0.982737558231755
"ARL8A_22682",39.2699434978625,0.580598578991812,0.844319950384049,0.687652327447338,0.491671747556076,0.673707815521373
"TRUB1_22683",107.376734842969,-3.20550601468072,0.843031385670291,-3.80235667279699,0.000143326185502132,0.00100632405292873
"XYLB_22684",3.21075253768525,-5.60953705983298,2.91972564164408,-1.92125485347804,0.0546995857782646,0.13812394298974
"ZNF488_22687",4.06632615613508,-3.3889664777497,2.3163537644144,-1.4630608371716,0.143450732771054,0.283226555571054
"ABCA10_22688",37.3870389053402,-5.09112870488329,1.336402407191,-3.80957762234535,0.000139204398858496,0.000981134542702405
"ECI1_22689",39.5535733233619,-0.0268264012934533,0.851178561659065,-0.0315167727452685,0.974857416073061,0.988052590163972
"ABCA6_22690",0.354032677241242,1.48219903460298,4.89297212552747,0.302924070805575,0.761947726840326,NA
"DAZAP1_22691",2.75291277828892,1.73172540665957,3.29550671146275,0.525480770722184,0.599249017411527,0.760403990309089
"ACAT1_22692",21.7891279784112,-1.44065012277451,1.05060088893597,-1.37126299620171,0.170292986518289,0.32260151074199
"ACY1_22695",1.3470235393095,0.174266496094296,4.08359102701559,0.0426748160972561,0.965960755119007,NA
"FOXD1_22696",1.32102131649938,-4.3361355915143,4.02589349762924,-1.07706167440042,0.281452713561714,NA
"GATM_22698",12.5250707166588,-7.57599046626759,2.01528668035283,-3.75926191550137,0.000170415361991111,0.00116622542625089
"GCKR_22701",3.14358357420734,-5.58794846342493,3.65398784383652,-1.52927396100964,0.12619654198691,0.256846923161094
"NEXMIF_22703",38.4730505040598,-4.37066770870782,1.38452571502577,-3.15679778372804,0.00159511923238653,0.00765047379604649
"MPIG6B_22704",223.528260203566,1.43924832640482,0.655374045816685,2.19607159543726,0.0280868192923522,0.0824383564127851
"CLBA1_22705",4.84255113494389,-6.21132958534465,2.66133672707892,-2.33391345114084,0.0196002542708851,0.0618417952407692
"MCFD2_22706",16.3978050032338,0.179013287516698,1.14551824886254,0.156272750516591,0.875818034367903,0.935216040567849
"USP17L2_22707",60.3648382711939,-9.84508157661139,1.70641856109095,-5.7694412151244,7.95348160152403e-09,6.34931037437366e-07
"PRMT3_22708",56.5995533145411,-1.58009930089163,1.11694877475335,-1.41465690872042,0.15716911446067,0.303271086922262
"UBAP2_22709",22.2258915722117,-0.386100611292639,1.00550061930069,-0.38398843708437,0.70098701765421,0.832531943909974
"ZNF483_22711",65.6891748418291,-6.93157666203238,1.2829786243607,-5.40272186178189,6.56371960649225e-08,2.57244736883664e-06
"ZFP82_22712",12.7100472526547,0.618129185302527,1.28868471021674,0.47965897352702,0.631469904884366,0.785259085742755
"IL1A_22714",1.76255544755299,-4.74518371965399,3.58514886456486,-1.32356671895964,0.185646984351806,NA
"PRKDC_22715",59.1635286458974,0.572871109072563,0.817258158236056,0.700967134190535,0.483323526030332,0.667251808314997
"FCGR3B_22716",1531.63191590187,1.62297680615732,0.594044494666996,2.73207953398695,0.00629359461133105,0.0242783455064506
"C1QTNF3_22717",0,NA,NA,NA,NA,NA
"RASGRF2_22718",17.0748957885676,-0.479607489329519,1.07448441977724,-0.446360580480963,0.655336802569414,0.802724411609424
"REXO5_22720",55.7244095118004,-3.64964802359242,0.901592530242506,-4.04800162065534,5.16567888634346e-05,0.000435029426352525
"AMN_22722",1.00666295907864,-3.94240477853434,4.45344011866892,-0.885249306936382,0.376022184285372,NA
"ZNF79_22723",8.7625163205438,1.00324213451386,1.58544937419577,0.632780933180384,0.526876709587316,0.703534085742145
"KAT2B_22724",89.126581569749,0.286710885673431,0.723037437375142,0.396536708685906,0.691709132917011,0.825802047881828
"SLC22A6_22726",0,NA,NA,NA,NA,NA
"HDAC3_22727",70.8275690739878,1.81409341951732,0.778034599037852,2.33163592179667,0.0197198524063803,0.0621379593278195
"CCN5_22729",0.628716714841468,-3.27372822998816,4.90187249631718,-0.667852587444438,0.504227694654264,NA
"CUL7_22730",15.7490266490144,0.321778970292797,1.23673613944938,0.260184011794189,0.794721836415154,0.889764264766604
"RALGPS1_22731",1.62730208456707,1.79117032313219,3.20856114193207,0.558247215464817,0.576675583601983,NA
"AP1AR_22732",61.2573185520916,-0.250624744733338,0.77559158313885,-0.323140103866328,0.746589139568266,0.860761492978038
"LINS1_22733",76.6341170394511,-0.270962410753457,0.754359824349512,-0.359195177165101,0.719449084285121,0.844435447222104
"TULP4_22734",33.957337808718,-0.532805727018195,0.899713816989498,-0.592194670079646,0.553720238119741,0.724214780281632
"NEURL1_22737",3.01912067868986,1.75255920957373,2.30602948526748,0.759989939751548,0.447260598359503,0.636088596857129
"NCEH1_22738",15.5499083653083,-1.30991876913156,1.27153162813907,-1.0301896863145,0.302920970297552,0.487962163360161
"STAMBPL1_22739",122.66130507415,-1.96202401468968,0.839976017879127,-2.33580956232969,0.0195011690287436,0.0617004723986731
"RAB11B_22740",228.495866757496,0.059516320437263,0.66828279236056,0.0890585858526071,0.9290353502617,0.964415853114726
"TBRG1_22742",135.347423385887,0.872682254986209,0.730522461343525,1.19460016791439,0.232243283618276,0.403152646651071
"IZUMO4_22743",2.81050967058414,2.8846836916153,2.68823046827522,1.07307901076879,0.283235667454459,0.464817351304171
"SPATA21_22744",0,NA,NA,NA,NA,NA
"PLXDC2_22745",164.853664390814,1.21501465829248,0.667954222451618,1.81900887434016,0.068910076185741,0.164456301646983
"FDX2_22748",9.24083901991124,-0.5409101226837,1.59232507767515,-0.339698300471063,0.734083741746554,0.853500469836404
"ARHGEF39_22749",0,NA,NA,NA,NA,NA
"ADRA2A_22751",7.53620172669902,-0.85269900939387,2.14072331437713,-0.398322848948825,0.690392219951826,0.824892528743233
"ADRA2C_22752",1.57179178710367,-4.58883376903259,4.60145752164085,-0.997256575215811,0.318639985989528,NA
"IL11RA_22755",18.3895316846643,0.483634616736735,1.07994043818255,0.447834528310333,0.654272622236286,0.801728194219349
"CD200R1_22756",57.2545477183691,-2.65525568605593,0.918811804788225,-2.88987981240395,0.00385389138959497,0.0160751275779144
"SLC41A1_22757",0.943075072262201,-3.85468065458007,4.86337665035129,-0.79259348631812,0.428014704962637,NA
"CDKN2D_22758",384.063136455361,0.132852686770269,0.654473707563032,0.202991633177982,0.839141571832238,0.913471348747788
"SMURF1_22759",40.6106506586405,0.265268445282343,0.923146695710517,0.287352428942157,0.773842482019716,0.878009215371991
"SLC44A2_22760",305.409815116575,1.57906155008437,0.643852932992066,2.45251899800514,0.0141859888237132,0.0477371743747284
"MXD1_22762",64.712779134014,0.00643885349299921,1.15486369456563,0.00557542290341114,0.995551479192731,0.997203247084791
"ADCK1_22763",6.00719362439514,1.14496699484209,2.11512730842869,0.541322969203531,0.588284991325449,0.751261088538891
"VN1R2_22764",20.7763002030602,-8.30462412404215,1.91550947578628,-4.33546491365347,1.45452374570446e-05,0.000155334130697979
"ADGRB3_22765",25.120891473457,-8.57871676408076,1.87957149272665,-4.56418752746447,5.01432431141165e-06,6.53655407369512e-05
"SAMD10_22766",6.03540601696197,-2.22220697361429,2.07172596992677,-1.07263557336825,0.283434657322109,0.46502540507905
"CFAP43_22767",0,NA,NA,NA,NA,NA
"ZKSCAN3_22769",44.9846204100813,-1.90346332008877,0.970131820630501,-1.96206667961029,0.0497547216291909,0.1285729624337
"SGK1_22771",80.9517113042246,-0.674484329977241,0.767888434596468,-0.878362402126408,0.379747081209344,0.570521336175699
"OR10H2_22772",12.1435433957602,-7.53388250104233,2.03136911689804,-3.70877081785451,0.000208267827649099,0.00137744818978191
"PTGS1_22773",278.161731813229,1.16730241342357,0.638832935714135,1.82724206621982,0.0676633815661668,0.162747618087248
"TM4SF5_22774",0,NA,NA,NA,NA,NA
"ACKR4_22775",117.4168157677,-10.8049733189649,1.70858280152338,-6.3239389447975,2.54978505436554e-10,7.99538568285311e-08
"UBQLN3_22776",3.46152300828955,-5.7208913941703,2.81542717841922,-2.03197988497874,0.0421556923474491,0.113206258056765
"VWA3B_22777",9.69226442321073,-7.20644434544849,2.1189317198233,-3.40097997402647,0.000671447465140372,0.00370051393270391
"ADAM12_22778",1.98941235116135,-2.21277889537586,3.01037448131334,-0.735051040696603,0.462308409889464,NA
"DENND1C_22779",124.050010966274,1.49649180190522,0.692670811850407,2.16046609197733,0.0307366058157145,0.0884816700571879
"TM7SF3_22780",82.0489830211125,-0.798604128117185,0.771066219055913,-1.035714064993,0.300335558679607,0.484686547333667
"ERMP1_22781",46.0964959836059,1.26031433530627,0.861428305392169,1.46305191902478,0.143453172848634,0.283226555571054
"NOL10_22783",19.1750567710766,1.60903172961657,1.09562957196807,1.46859100081269,0.141943757205922,0.280877952008728
"SYNDIG1_22784",13.9096799199746,-7.72732787238787,1.97714842197171,-3.90831957101217,9.29403183070572e-05,0.000702302194766316
"CSDE1_22785",949.76960841655,0.779673785847789,0.620191821538513,1.25714941534322,0.208699536339076,0.375092226489405
"C16orf86_22786",5.62405142034687,1.20410368695129,1.68824420048406,0.713228386394598,0.475704443523096,0.660685416565254
"SMOX_22788",70.4384998469649,0.365788981668299,0.796397500880218,0.459304532302037,0.646015493527746,0.796043712173908
"MRPL20_22790",10.2601574887999,1.29036095412925,1.39759618469279,0.923271663347372,0.3558656510736,0.546195957185261
"NRDE2_22791",99.9526921859706,0.62126313714071,0.757473122033468,0.820178457913996,0.412114380627552,0.602876649207061
