GeneID,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16
RNH1_5893,10,3,15,10,5,40,21,18,29,16,15,7,73,31,43,19
RNMT_5894,18,41,46,25,0,2,35,34,17,17,15,10,51,29,21,16
RNPS1_5895,21,8,24,18,21,70,78,61,33,25,30,18,118,81,89,98
RPA2_5905,19,28,23,28,54,33,44,51,32,13,17,16,66,61,78,120
RPA3_5906,16,19,49,29,0,0,0,14,5,5,18,10,0,0,15,0
RPAP3_5909,39,60,53,52,70,39,40,135,65,50,53,45,101,8,60,32
RPF2_5910,12,11,21,11,0,0,7,10,2,4,4,4,0,12,0,0
RPIA_5911,133,74,120,77,152,0,109,76,136,105,88,58,98,35,178,166
RPL12_5915,265,187,256,187,1049,1469,1100,905,169,122,116,91,475,772,493,718
RPL13A_5916,37,28,35,11,107,6,23,49,52,29,21,16,130,35,66,73
RPL18_5920,200,174,276,184,269,786,590,422,198,121,107,95,230,488,443,496
RPL23_5924,46,42,66,42,118,116,139,158,84,63,44,37,196,54,166,137
RPL27_5929,199,139,263,153,555,1342,1034,728,122,86,81,69,192,597,321,474
RPL31_5934,52,46,70,39,239,172,179,169,31,19,15,14,133,84,69,69
RPL36_5938,68,43,93,46,214,187,252,193,113,98,59,38,162,249,202,428
RPL36A_5939,2,1,1,0,0,0,15,5,1,1,0,0,7,0,0,0
HNRNPH2_5940,22,29,33,25,17,14,21,21,57,32,15,5,152,27,57,12
RPL36A-HNRNPH2_5942,5,5,9,11,0,9,37,16,15,7,6,5,8,38,23,29
RPL39_5944,16,12,27,11,16,0,27,56,3,8,10,6,7,20,2,3
RPL39L_5945,6,3,6,0,3,0,0,0,1,2,1,1,11,0,5,0
RPL41_5951,68,44,101,48,98,192,121,133,53,35,25,25,125,56,139,44
RPL6_5953,143,81,190,89,361,126,256,297,175,91,66,40,353,60,488,195
RPL7A_5954,84,43,107,44,138,189,230,183,74,52,57,31,103,140,194,59
